indicator_id,indicator_subject
idmc_displacement_conflict,Conflict-driven displacement
idmc_displacement_disaster,Disaster-driven displacement
ipc_food_insecurity,Food insecurity
jrc_agricultural_hotspots,Agricultural hotspots
wfp_market_monitor,Market monitoring
acled_conflict,Armed conflict
