Alpha-3 code;acled_conflict;idmc_displacement_conflict;idmc_displacement_disaster;ipc_food_insecurity;jrc_agricultural_hotspots;Latitude;Longitude
MLT;True;False;False;False;False;35.8333;14.5833
MHL;False;False;True;False;False;9.0;168.0
MTQ;True;False;True;False;False;14.6667;-61.0
MRT;True;False;True;True;True;20.0;-12.0
MUS;True;False;True;False;False;-20.2833;57.55
MYT;True;True;True;False;False;-12.8333;45.1667
MEX;True;True;True;False;False;23.0;-102.0
FSM;False;False;True;False;False;6.9167;158.25
MDA;True;False;True;False;False;47.0;29.0
MCO;False;False;False;False;False;43.7333;7.4
MNG;True;False;True;False;False;46.0;105.0
MNE;True;False;True;False;False;42.0;19.0
MSR;False;False;False;False;False;16.75;-62.2
MAR;True;False;True;False;True;32.0;-5.0
MOZ;True;True;True;True;True;-18.25;35.0
MMR;True;True;True;True;True;22.0;98.0
NAM;True;False;True;True;True;-22.0;17.0
NRU;False;False;False;False;False;-0.5333;166.9167
NPL;True;False;True;False;True;28.0;84.0
NLD;True;True;True;False;False;52.5;5.75
NCL;False;True;True;False;False;-21.5;165.5
NZL;True;False;True;False;False;-41.0;174.0
NIC;True;True;True;False;True;13.0;-85.0
NER;True;True;True;True;True;16.0;8.0
NGA;True;True;True;True;True;10.0;8.0
NIU;False;False;False;False;False;-19.0333;-169.8667
NFK;False;False;False;False;False;-29.0333;167.95
NOR;True;False;True;False;False;62.0;10.0
OMN;True;False;True;False;False;21.0;57.0
PAK;True;True;True;True;True;30.0;70.0
PLW;False;False;True;False;False;7.5;134.5
PSE;True;True;True;True;False;32.0;35.25
PAN;True;False;True;False;False;9.0;-80.0
PNG;True;True;True;False;False;-6.0;147.0
PRY;True;False;True;False;False;-23.0;-58.0
PER;True;True;True;False;True;-10.0;-76.0
PHL;True;True;True;False;True;13.0;122.0
PCN;False;False;False;False;False;-24.7;-127.4
POL;True;False;True;False;False;52.0;20.0
PRT;True;False;True;False;False;39.5;-8.0
PRI;True;False;True;False;False;18.25;-66.5
QAT;False;False;False;False;False;25.5;51.25
REU;True;False;True;False;False;-21.1;55.6
ROU;True;False;True;False;False;46.0;25.0
RUS;True;True;True;False;False;60.0;100.0
RWA;True;False;True;False;True;-2.0;30.0
BLM;False;False;False;False;False;17.897728;-62.834244
SHN;False;False;False;False;False;-15.9333;-5.7
KNA;True;False;False;False;False;17.3333;-62.75
LCA;True;False;True;False;False;13.8833;-61.1333
MAF;True;False;False;False;False;18.075278;-63.06
SPM;False;False;False;False;False;46.8333;-56.3333
VCT;True;False;True;False;False;13.25;-61.2
WSM;True;False;True;False;False;-13.5833;-172.3333
SMR;False;False;False;False;False;43.7667;12.4167
STP;True;False;True;False;False;1.0;7.0
SAU;True;False;True;False;False;25.0;45.0
SEN;True;False;True;True;True;14.0;-14.0
SRB;True;False;True;False;False;44.0;21.0
SYC;False;False;True;False;False;-4.5833;55.6667
SLE;True;True;True;True;True;8.5;-11.5
SGP;False;False;False;False;False;1.3667;103.8
SXM;True;False;False;False;False;18.033333;-63.05
SVK;True;False;True;False;False;48.6667;19.5
SVN;True;False;True;False;False;46.0;15.0
SLB;True;False;True;False;False;-8.0;159.0
SOM;True;True;True;True;True;10.0;49.0
ZAF;True;True;True;True;True;-29.0;24.0
SGS;False;False;False;False;False;-54.5;-37.0
ESP;True;False;True;False;False;40.0;-4.0
LKA;True;True;True;False;True;7.0;81.0
SSD;True;True;True;True;True;8.0;30.0
SDN;True;True;True;True;True;15.0;30.0
SUR;True;False;True;False;False;4.0;-56.0
SJM;False;False;False;False;False;78.0;20.0
SWZ;True;False;True;True;True;-26.5;31.5
SWE;True;False;True;False;False;62.0;15.0
CHE;True;False;True;False;False;47.0;8.0
SYR;True;True;True;False;True;35.0;38.0
TWN;True;False;True;False;False;23.5;121.0
TJK;True;True;True;False;True;39.0;71.0
TZA;True;True;True;True;True;-6.0;35.0
THA;True;True;True;False;True;15.0;100.0
TLS;True;False;True;True;True;-8.55;125.5167
TGO;True;True;False;True;True;8.0;1.1667
TKL;False;False;False;False;False;-9.0;-172.0
TON;False;False;True;False;False;-20.0;-175.0
TTO;True;False;True;False;False;11.0;-61.0
TUN;True;False;True;False;True;34.0;9.0
TUR;True;True;True;False;False;39.0;35.0
TKM;True;False;False;False;True;40.0;60.0
TCA;False;False;True;False;False;21.75;-71.5833
TUV;False;False;True;False;False;-8.0;178.0
UGA;True;True;True;True;True;1.0;32.0
UKR;True;True;True;False;False;49.0;32.0
ARE;True;False;True;False;False;24.0;54.0
GBR;True;True;True;False;False;54.0;-2.0
USA;True;True;True;False;False;38.0;-97.0
UMI;False;False;False;False;False;19.2833;166.6
URY;True;False;True;False;False;-33.0;-56.0
UZB;True;False;True;False;True;41.0;64.0
VUT;False;False;True;False;False;-16.0;167.0
VEN;True;True;True;False;False;8.0;-66.0
VNM;True;False;True;False;True;16.0;106.0
VGB;False;False;False;False;False;18.5;-64.5
WLF;False;False;False;False;False;-13.3;-176.2
ESH;False;False;False;False;False;24.5;-13.0
YEM;True;True;True;True;True;15.0;48.0
ZMB;True;True;True;True;True;-15.0;30.0
ZWE;True;True;True;True;True;-20.0;30.0
MNP;False;False;True;False;False;15.2;145.75
VIR;False;False;False;False;False;18.3333;-64.8333
XKX;True;False;True;False;False;42.583333;21.0
AB9;False;True;True;False;False;NA;NA
LAC;False;False;False;True;False;NA;NA
